Quel est l'algorithme utilisé pour effectuer une recherche en profondeur dans un graphe ?, [Parcours en profondeur d'abord (DFS), Parcours en largeur d'abord (BFS), Algorithme de Kruskal, Algorithme de Prim], Réponse : Parcours en profondeur d'abord (DFS), 1 points, 3 minute(s) minutes, difficulté 2
Quelle est la complexité temporelle du tri fusion ?, [O(n log n), O(n^2), O(n), O(log n)], Réponse : O(n log n), 2 points, 4 minute(s) minutes, difficulté 3
Qu'est-ce qu'un algorithme?, [Un organigramme, Un organigramme ou un pseudocode, Une décision, Instructions pas à pas utilisées pour résoudre un problème], Réponse : Instructions pas à pas utilisées pour résoudre un problème, 1 points, 4 minute(s) minutes, difficulté 2
Quel est l'algorithme de tri adapté aux listes de petite taille ?, [Tri par insertion, Tri fusion, Tri rapide, Tri à bulles], Réponse : Tri par insertion, 2 points, 5 minute(s) minutes, difficulté 1
Quelles sont les trois constructions d'algorithme?, [Entrée, Sortie, Processus, Séquence, Sélection, Répétition, Entrée / Sortie, Décision, Répétition, Boucle, Entrée/Sortie, Processus], Réponse : Séquence, Sélection, Répétition, 3 points, 3 minute(s) minutes, difficulté 3
Qu'est-ce qu'un organigramme?, [Un moyen de concevoir un algorithme basé sur du texte, Un langage de programmation spécifique,  Un diagramme qui représente un ensemble d'instructions, Un schéma d'instructions], Réponse :  Un diagramme qui représente un ensemble d'instructions, 3 points, 2 minute(s) minutes, difficulté 2
Quelle est la complexité temporelle de l'algorithme de recherche en profondeur ?, [O(n), O(log n), O(n^2), O(n log n)], Réponse : O(n), 2 points, 4 minute(s) minutes, difficulté 2
Quelle est la complexité temporelle de l'algorithme de Kruskal ?, [O(n log n), O(n), O(log n), O(n^2)], Réponse : O(n log n), 2 points, 4 minute(s) minutes, difficulté 3
L'algorithme RLE est :, [un algorithme de tri, un algorithme de parcourt de graphe, un algorithme de compression, un autre type d'algorithme], Réponse : un algorithme de compression, 1 points, 2 minute(s) minutes, difficulté 3
Quel est l'algorithme utilisé pour effectuer une recherche en largeur dans un graphe ?, [Parcours en largeur d'abord (BFS), Parcours en profondeur d'abord (DFS), Algorithme de Kruskal, Algorithme de Prim], Réponse : Parcours en largeur d'abord (BFS), 2 points, 2 minute(s) minutes, difficulté 3
Quel est l'algorithme utilisé pour trouver un arbre couvrant minimal dans un graphe pondéré ?, [Algorithme de Prim, Algorithme de Kruskal, Algorithme de Dijkstra, Algorithme de Bellman-Ford], Réponse : Algorithme de Prim, 1 points, 3 minute(s) minutes, difficulté 1
