total_points,total_duration,difficulty_1,difficulty_2,difficulty_3,valid
0,51,36,55,5,0
14,32,11,46,3,1
0,1,39,17,17,0
23,28,7,8,27,0
18,15,22,16,15,1
29,14,31,59,13,0
23,15,12,14,25,0
24,41,32,20,30,0
20,42,10,7,1,1
11,44,26,24,12,1
21,43,37,15,2,0
10,52,12,34,21,0
15,10,6,12,2,1
12,2,30,39,1,1
11,46,12,8,23,0
24,32,25,50,3,0
10,10,7,32,10,1
29,34,34,57,24,0
10,32,20,53,12,0
16,34,17,12,8,1
16,11,13,1,0,1
0,18,39,6,30,0
0,1,10,27,6,1
12,39,13,0,26,0
12,37,28,26,16,1
30,54,0,33,12,0
20,54,0,37,23,0
3,54,15,25,14,0
24,18,26,9,4,0
21,23,8,8,30,0
23,14,2,0,28,0
24,49,18,22,21,0
15,16,33,41,8,0
14,25,27,16,23,0
3,33,0,41,26,0
28,16,8,27,30,0
16,22,23,25,23,0
20,1,25,21,17,1
6,22,39,14,5,0
9,33,0,13,16,1
12,39,13,7,9,1
23,26,19,40,9,0
22,16,1,44,17,0
25,40,31,31,27,0
18,50,6,42,17,0
13,45,2,56,26,0
7,8,2,15,16,1
19,6,11,20,11,1
15,14,27,46,11,1
10,48,31,24,9,0
10,18,35,41,3,0
15,25,38,45,9,0
1,46,15,50,25,0
19,40,11,9,9,1
6,50,28,60,15,0
27,31,4,17,30,0
10,16,5,16,16,1
1,27,32,2,22,0
17,24,15,42,18,1
1,16,21,37,30,0
30,13,18,29,10,0
6,54,14,8,2,0
12,14,12,2,25,0
21,46,32,6,0,0
26,49,28,39,5,0
11,33,28,3,19,1
28,37,10,28,0,0
15,8,31,12,18,0
26,11,4,53,1,0
17,21,24,15,16,1
3,19,23,21,8,1
14,0,27,45,1,1
0,17,15,17,24,0
15,38,25,50,2,1
7,21,20,7,28,0
13,39,0,0,16,1
18,29,33,22,11,0
7,22,16,9,23,0
28,48,5,17,8,0
8,51,33,50,10,0
11,31,17,21,9,1
27,15,23,19,13,0
16,40,0,26,9,1
6,42,38,24,28,0
8,10,32,54,2,0
